REPORTER	NOM	PRENOM	ALIAS	DATE_PUBL	DATE_REP	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	QUALIFICATION	GENRE	URL	SAISIE_NOM	SAISIE_DATE	VERIFICATION	REMARQUES
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-03	1925-04-27	L’intransigeant	Sofia	Bulgarie	42.697708	23.321868	« L’INTRANSIGEANT » EN BULGARIE Dans Sofia en état de siège. 'Dans la ville tranquille, les gens s'étonnent que je porte quelque intérêt à des faits qui les laissent indifférents'	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/03-mai-1925/44/922589/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-05	1925-05	L’intransigeant	Sofia	Bulgarie	42.697708	23.321868	EN BULGARIE Comment fut monté l'attentat de Sofia	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/05-mai-1925/44/922633/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-06	1925-05	L’intransigeant	Sofia	Bulgarie	42.697708	23.321868	EN BULGARIE SOFIA, LA NUIT Vision d’état de siège	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/6-mai-1925/44/906529/1	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-10	1925-05	L’intransigeant	Varna	Bulgarie	43.2069025	27.9150855	« L’INTRANSIGEANT » EN BULGARIE Au camp des réfugiés	Par TITAYNA / De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/10-mai-1925/44/906765/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-11	1925-05-06	L’intransigeant	Belgrade	Serbie	44.8178131	20.4568974	M. KALFOFF ministre de Bulgarie vient à Paris	De notre envoyé spécial		https://www.retronews.fr/journal/l-intransigeant/11-mai-1925/44/922511/3	Gilles Bastin	2023-11-19	Gilles Bastin	« (retardé en transmission) »
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-12	1925-05	L’intransigeant	Sofia	Bulgarie	42.697708	23.321868	« L’INTRANSIGEANT » EN BULGARIE LE PAYS où l’on ne peut plus rire…	Par TITAYNA / De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/12-mai-1925/44/906655/1	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-18	n.i.	Le Figaro	Sofia	Bulgarie	42.697708	23.321868	Une heure dans le Palais Royal de Sofia avec la princesse Euxodie	Aucune	Analyse	https://www.retronews.fr/journal/le-figaro-1854/18-mai-1925/104/542411/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-18	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	BALKANS… BALKANS RETOUR DE SOFIA	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/18-mai-1925/44/922577/3	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-24	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	L’EUROPE NOUVELLE Vienne sans l'Allemagne. 	Aucune	Analyse	https://www.retronews.fr/journal/l-intransigeant/24-mai-1925/44/906869/2	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-06-02	n.i.	L’intransigeant	Ajaccio, route des Sanguinaires	France	41.89701843261719	8.611164093017578	CHEZ LES BANDITS CORSES Comment j'ai appris le fox-trott à Romanetti	Aucune	Reportage	https://www.retronews.fr/journal/l-intransigeant/02-juin-1925/44/906531/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-06-11	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	DES FEMMES PAR UNE FEMME Musulmanes	Aucune	Analyse	https://www.retronews.fr/journal/l-intransigeant/11-juin-1925/44/922725/1	Mathilde Carnet	2018-01-11	GB	Notre cdllaboratricè Titayna qui, au cours Ide ses nombretix voyages en Europe, en !Asie, en Afrique, a été en contact avec tous tes. milieux, de vingt pays, va donner Xci quelques portraits de femmes étrangères. OrC y reconnaîtra son don d'observation et son souci de la vérité
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-06-16	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	DES FEMMES PAR UNE FEMME La juive internationale	Aucune	Analyse	https://www.retronews.fr/journal/l-intransigeant/16-juin-1925/44/906663/1	Mathilde Carnet	2018-01-11	GB	
